22/05/2015 - 11:53:40 - INFO  - *** LOG INITIALIZED ***
22/05/2015 - 11:53:40 - INFO  - Created desktops
22/05/2015 - 11:53:40 - INFO  - Started the key listener for the current desktop
22/05/2015 - 11:53:40 - INFO  - Started the key listener for the new desktop
22/05/2015 - 11:53:40 - INFO  - Started the new explorer process
22/05/2015 - 11:53:40 - INFO  - Disabled options from CTRL+ALT+DEL menu
22/05/2015 - 11:53:40 - INFO  - Waiting for either LCTRL or ESC to be pressed
22/05/2015 - 11:53:50 - INFO  - Detected ESC press
22/05/2015 - 11:53:50 - INFO  - Enabled options from CTRL+ALT+DEL menu
22/05/2015 - 11:53:51 - INFO  - Closed the new thread desktop and returned to the original one
22/05/2015 - 11:53:51 - INFO  - Closed the key listener for the current desktop
22/05/2015 - 11:53:51 - INFO  - Closed the key listener for the new desktop
22/05/2015 - 11:53:51 - INFO  - Closed the new explorer process
22/05/2015 - 11:53:51 - INFO  - *** LOG CLOSED ***

22/05/2015 - 02:03:51 - INFO  - *** LOG INITIALIZED ***
22/05/2015 - 02:03:51 - INFO  - Created desktops
22/05/2015 - 02:03:51 - INFO  - Started the key listener for the current desktop
22/05/2015 - 02:03:51 - INFO  - Started the key listener for the new desktop
22/05/2015 - 02:03:51 - INFO  - Started the new explorer process
22/05/2015 - 02:03:51 - INFO  - Disabled options from CTRL+ALT+DEL menu
22/05/2015 - 02:03:51 - INFO  - Waiting for either LCTRL or ESC to be pressed
22/05/2015 - 02:04:02 - INFO  - Switched to the original desktop
22/05/2015 - 02:04:03 - INFO  - Switched to the new desktop
22/05/2015 - 02:04:04 - INFO  - Switched to the original desktop
22/05/2015 - 02:04:04 - INFO  - Detected ESC press
22/05/2015 - 02:04:04 - INFO  - Enabled options from CTRL+ALT+DEL menu
22/05/2015 - 02:04:04 - INFO  - Closed the new thread desktop and returned to the original one
22/05/2015 - 02:04:04 - INFO  - Closed the key listener for the current desktop
22/05/2015 - 02:04:04 - INFO  - Closed the key listener for the new desktop
22/05/2015 - 02:04:04 - INFO  - Closed the new explorer process
22/05/2015 - 02:04:04 - INFO  - *** LOG CLOSED ***

27/05/2015 - 03:11:10 - INFO  - *** LOG INITIALIZED ***
27/05/2015 - 03:11:10 - INFO  - Created desktops
27/05/2015 - 03:11:10 - INFO  - Started the key listener for the current desktop
27/05/2015 - 03:11:10 - INFO  - Started the key listener for the new desktop
27/05/2015 - 03:11:10 - INFO  - Started the new explorer process
27/05/2015 - 03:11:10 - INFO  - Disabled options from CTRL+ALT+DEL menu
27/05/2015 - 03:11:10 - INFO  - Waiting for either LCTRL or ESC to be pressed
27/05/2015 - 03:11:14 - INFO  - Detected ESC press
27/05/2015 - 03:11:14 - INFO  - Enabled options from CTRL+ALT+DEL menu
27/05/2015 - 03:11:14 - INFO  - Closed the new thread desktop and returned to the original one
27/05/2015 - 03:11:14 - INFO  - Closed the key listener for the current desktop
27/05/2015 - 03:11:14 - INFO  - Closed the key listener for the new desktop
27/05/2015 - 03:11:14 - INFO  - Closed the new explorer process
27/05/2015 - 03:11:14 - INFO  - *** LOG CLOSED ***

27/05/2015 - 03:11:52 - INFO  - *** LOG INITIALIZED ***
27/05/2015 - 03:11:52 - INFO  - Created desktops
27/05/2015 - 03:11:52 - INFO  - Started the key listener for the current desktop
27/05/2015 - 03:11:52 - INFO  - Started the key listener for the new desktop
27/05/2015 - 03:11:53 - INFO  - Started the new explorer process
27/05/2015 - 03:11:53 - INFO  - Disabled options from CTRL+ALT+DEL menu
27/05/2015 - 03:11:53 - INFO  - Waiting for either LCTRL or ESC to be pressed
27/05/2015 - 03:11:58 - INFO  - Switched to the original desktop
27/05/2015 - 03:11:59 - INFO  - Switched to the new desktop
27/05/2015 - 03:11:59 - INFO  - Switched to the original desktop
27/05/2015 - 03:12:00 - INFO  - Switched to the new desktop
27/05/2015 - 03:12:00 - INFO  - Switched to the original desktop
27/05/2015 - 03:12:01 - INFO  - Switched to the new desktop
27/05/2015 - 03:12:01 - INFO  - Detected ESC press
27/05/2015 - 03:12:01 - INFO  - Enabled options from CTRL+ALT+DEL menu
27/05/2015 - 03:12:01 - INFO  - Closed the new thread desktop and returned to the original one
27/05/2015 - 03:12:01 - INFO  - Closed the key listener for the current desktop
27/05/2015 - 03:12:01 - INFO  - Closed the key listener for the new desktop
27/05/2015 - 03:12:01 - INFO  - Closed the new explorer process
27/05/2015 - 03:12:01 - INFO  - *** LOG CLOSED ***

27/05/2015 - 03:13:49 - INFO  - *** LOG INITIALIZED ***
27/05/2015 - 03:13:49 - INFO  - Created desktops
27/05/2015 - 03:13:49 - INFO  - Started the key listener for the current desktop
27/05/2015 - 03:13:49 - INFO  - Started the key listener for the new desktop
27/05/2015 - 03:13:49 - INFO  - Started the new explorer process
27/05/2015 - 03:13:49 - INFO  - Disabled options from CTRL+ALT+DEL menu
27/05/2015 - 03:13:49 - INFO  - Waiting for either LCTRL or ESC to be pressed
27/05/2015 - 03:13:55 - INFO  - Switched to the original desktop
27/05/2015 - 03:14:05 - INFO  - Switched to the new desktop
27/05/2015 - 03:14:05 - INFO  - Detected ESC press
27/05/2015 - 03:14:05 - INFO  - Enabled options from CTRL+ALT+DEL menu
27/05/2015 - 03:14:05 - INFO  - Closed the new thread desktop and returned to the original one
27/05/2015 - 03:14:05 - INFO  - Closed the key listener for the current desktop
27/05/2015 - 03:14:05 - INFO  - Closed the key listener for the new desktop
27/05/2015 - 03:14:05 - INFO  - Closed the new explorer process
27/05/2015 - 03:14:05 - INFO  - *** LOG CLOSED ***

27/05/2015 - 03:18:28 - INFO  - *** LOG INITIALIZED ***
27/05/2015 - 03:18:28 - INFO  - Created desktops
